Cod Venda;NFe;NFCe;Data Venda;Data Recebimento;Nome Cliente;Valor Venda;Valor Recebido;Vr. Desconto;Tx Serviço;Operação;Tipo Operação;Caixa;Vendedor;Operador;Data Cancelamento;Operador Cancelamento;Operador Desconto;Operador Desc Repique;NRC;Comandas;Série NFCE;Série NFE;Integração;Observação;CO_CLIENTE;Atendente;IC_REVENDA
;Código;Produto;Qtde;Vr. Total;Vr. Unitário;Observação;Hora Lançamento;Computador;Operação;Atendente;CO_VENDA;IC_ITEM_CANCELADO
;576;MARGARITA DE MORANGO;1;26;26;;26/11/2022 21:22:20;SERVIDOR;1;MARCOS;1277101;F
;525;SODA ITALIANA ;1;16;16;;26/11/2022 21:22:20;SERVIDOR;1;MARCOS;1277101;F
;525;SODA ITALIANA ;1;16;16;;26/11/2022 21:22:20;SERVIDOR;1;MARCOS;1277101;F
;84;BOLINHO ACOSTELADO;1;36;36;;26/11/2022 21:22:45;SERVIDOR;1;MARCOS;1277101;F
;45;CEVICHE BANANA;1;34;34;;26/11/2022 21:22:45;SERVIDOR;1;MARCOS;1277101;F
;136;PORÇAO EXTRA;1;10;10;;26/11/2022 21:42:58;SERVIDOR;1;MARCOS;1277101;F
;77;MOJITO;1;23;23;;26/11/2022 22:04:34;SERVIDOR;1;MARCOS;1277101;F
;85;CHICKEN FINGERS ;1;34;34;;26/11/2022 22:05:37;SERVIDOR;1;MARCOS;1277101;F
;73;LINGUIÇA NA CACHAÇA;1;34;34;;26/11/2022 22:05:37;SERVIDOR;1;MARCOS;1277101;F
;525;SODA ITALIANA ;1;16;16;;26/11/2022 22:05:37;SERVIDOR;1;MARCOS;1277101;F
;526;AGUA COM GÁS ;1;7;7;;26/11/2022 22:14:26;SERVIDOR;1;MARCOS;1277101;F
;86;COUVERT LOCA;1;10;10;;26/11/2022 22:44:11;SERVIDOR;1;MARCOS;1277101;F
